wat it be,PCB_Lable,Part,Qnty,PKG,Docs,Picture,CadModels
MCU,U2,PIC 16LF1933,1,28pin DIP,https://ww1.microchip.com/downloads/aemDocuments/documents/OTH/ProductDocuments/DataSheets/41575C.pdf,,https://www.digikey.com/en/models/2258606?tab=ultralibrarian
12V Reg,U3,7812CT,1,TO-220,https://shop.griederbauteile.ch/info/7/7812CT.pdf,,
5V Reg,U1,gk15V,1,TO-220,,,
mosfet,"Q5,Q6,Q7,Q8",,4,,,,
Elko 65C 1000uF 35VDC,C1,,1,radial,,,
transformer,T1,microtran PSD4-36,1,Thru-hole,https://datasheet.octopart.com/PSD4-36-Microtran-datasheet-180664995.pdf,,
Relay,"RLY2,3,4",Zetler AZ943-1CH-24DE,3,Thru-hole,https://www.azettler.com/pdfs/az943.pdf,,
Relay,RLY1,AZ2100-1A-12DE,1,Thru-hole,https://www.azettler.com/pdfs/az2100.pdf,,
mylar cap,"C2,C3,C4",,3,Thru-hole,,,
DIODE,D1-D8,,8,Thru-hole,,,
2.54mm 6pin header,JP3,,1,Thru-hole,,,
Push in terminals,JP12-JP16,,5,Thru-hole,,,
2prong spades,J1-J7,,7,Thru-hole,,,
1pring spade,"J8,J9",,2,Thru-hole,,,
Trasistor,"Q1,Q2,Q3,Q4",,4,Thru-hole,,,
1% Resistor,"R1,R3,R4,R5",2.2K,4,Thru-hole,,,
1% Resistor,"R2,R6",1.2K,2,Thru-hole,,,
5% Resisitor,"R9,R11",1K,2,Thru-hole,,,
5% Resisitor,R7,1M,1,Thru-hole,,,
Metal Oxide Varistor,MOV1,,1,Thru-hole,https://www.bourns.com/docs/Product-Datasheets/MOV14D.pdf,,
Resistor Array,RP2,10K **maybe,1,Thru-hole,,,
Resistor Array,RP1,9M ** maybe,1,Thru-hole,,,
2 way LED,LED1,,1,Thru-hole,,,
,,,,,,,
,,,,,,,
Dimensions: 100mm x 120mm,,,,,,,
